district,year,value
66,2007,0.064074174
66,2008,0.058617476
66,2009,0.048817936
66,2010,0.080604032
66,2011,0.072570339
66,2012,0.070182487
66,2013,0.068893783
66,2014,0.07054887
66,2015,0.07054887
67,2000,0
67,2001,0
67,2002,0
67,2003,0
67,2004,0
67,2005,0
67,2006,0.015859624
67,2007,0.064074174
67,2008,0.058617476
67,2009,0.048817936
67,2010,0.080604032
67,2011,0.072570339
67,2012,0.070182487
67,2013,0.068893783
67,2014,0.07054887
67,2015,0.07054887
68,2000,0
68,2001,0
68,2002,0
68,2003,0
68,2004,0.000164166
68,2005,0.000247717
68,2006,0.01591502
68,2007,0.064892205
68,2008,0.05927324
68,2009,0.048814471
68,2010,0.080128894
68,2011,0.072349855
68,2012,0.070241341
68,2013,0.067895322
68,2014,0.070162173
68,2015,0.070162173
69,2000,0
69,2001,0
69,2002,0
69,2003,0
69,2004,0
69,2005,0
69,2006,0.015859624
69,2007,0.064074174
69,2008,0.058617476
69,2009,0.048817936
69,2010,0.080604032
69,2011,0.072570339
69,2012,0.070182487
69,2013,0.068893783
69,2014,0.07054887
69,2015,0.07054887
70,2000,0
70,2001,0
70,2002,0
70,2003,0
70,2004,0
70,2005,0
70,2006,0.015859624
70,2007,0.064074174
70,2008,0.058617476
70,2009,0.048817936
70,2010,0.080604032
70,2011,0.072570339
70,2012,0.070182487
70,2013,0.068893783
70,2014,0.07054887
70,2015,0.07054887
71,2000,0
71,2001,0
71,2002,0
71,2003,0
71,2004,0
71,2005,0
71,2006,0.015859624
71,2007,0.064074174
71,2008,0.058617476
71,2009,0.048817936
71,2010,0.080604032
71,2011,0.072570339
71,2012,0.070182487
71,2013,0.068893783
71,2014,0.07054887
71,2015,0.07054887
72,2000,0
72,2001,0
72,2002,0
72,2003,0
72,2004,0
72,2005,0
72,2006,0.015859624
72,2007,0.064074174
72,2008,0.058617476
72,2009,0.048817936
72,2010,0.080604032
72,2011,0.072570339
72,2012,0.070182487
72,2013,0.068893783
72,2014,0.07054887
72,2015,0.07054887
73,2000,0
73,2001,0
73,2002,0
73,2003,0
73,2004,0
73,2005,0
73,2006,0.015859624
73,2007,0.064074174
73,2008,0.058617476
73,2009,0.048817936
73,2010,0.080604032
73,2011,0.072570339
73,2012,0.070182487
73,2013,0.068893783
73,2014,0.07054887
73,2015,0.07054887
74,2000,0
74,2001,0
74,2002,0
74,2003,0
74,2004,0.000580895
74,2005,0.000876538
74,2006,0.016055639
74,2007,0.066968746
74,2008,0.06093787
74,2009,0.048805673
74,2010,0.078922774
74,2011,0.071790165
74,2012,0.070390739
74,2013,0.065360768
74,2014,0.069180558
74,2015,0.069180558
75,2000,0
75,2001,0
75,2002,0
75,2003,0
75,2004,0
75,2005,0
75,2006,0.015859624
75,2007,0.064074174
75,2008,0.058617476
75,2009,0.048817936
75,2010,0.080604032
75,2011,0.072570339
75,2012,0.070182487
75,2013,0.068893783
75,2014,0.07054887
75,2015,0.07054887
76,2000,0
76,2001,0
76,2002,0
76,2003,0
76,2004,0
76,2005,0
76,2006,0.015859624
76,2007,0.064074174
76,2008,0.058617476
76,2009,0.048817936
76,2010,0.080604032
76,2011,0.072570339
76,2012,0.070182487
76,2013,0.068893783
76,2014,0.07054887
76,2015,0.07054887
77,2000,0
77,2001,0
77,2002,0
77,2003,0
77,2004,0
77,2005,0
77,2006,0.015859624
77,2007,0.064074174
77,2008,0.058617476
77,2009,0.048817936
77,2010,0.080604032
77,2011,0.072570339
77,2012,0.070182487
77,2013,0.068893783
77,2014,0.07054887
77,2015,0.07054887
78,2000,0
78,2001,0
78,2002,0
78,2003,0
78,2004,0
78,2005,0
78,2006,0.015859624
78,2007,0.064074174
78,2008,0.058617476
78,2009,0.048817936
78,2010,0.080604032
78,2011,0.072570339
78,2012,0.070182487
78,2013,0.068893783
78,2014,0.07054887
78,2015,0.07054887
79,2000,0
79,2001,0
79,2002,0
79,2003,0
79,2004,0
79,2005,0
79,2006,0.015859624
79,2007,0.064074174
79,2008,0.058617476
79,2009,0.048817936
79,2010,0.080604032
79,2011,0.072570339
79,2012,0.070182487
79,2013,0.068893783
79,2014,0.07054887
79,2015,0.07054887
80,2000,0
80,2001,0
80,2002,0
80,2003,0
80,2004,0
80,2005,0
80,2006,0.015859624
80,2007,0.064074174
80,2008,0.058617476
80,2009,0.048817936
80,2010,0.080604032
80,2011,0.072570339
80,2012,0.070182487
80,2013,0.068893783
80,2014,0.07054887
80,2015,0.07054887
81,2000,0
81,2001,0
81,2002,0
81,2003,0
81,2004,0
81,2005,0
81,2006,0.015859624
81,2007,0.064074174
81,2008,0.058617476
81,2009,0.048817936
81,2010,0.080604032
81,2011,0.072570339
81,2012,0.070182487
81,2013,0.068893783
81,2014,0.07054887
81,2015,0.07054887
82,2000,0
82,2001,0
82,2002,0
82,2003,0
82,2004,0
82,2005,0
82,2006,0.015683406
82,2007,0.063362238
82,2008,0.057966171
82,2009,0.048275515
82,2010,0.079708431
82,2011,0.071764002
82,2012,0.06958244
82,2013,0.068465716
82,2014,0.069937386
82,2015,0.069937386
83,2000,0
83,2001,0
83,2002,0
83,2003,0
83,2004,0
83,2005,0
83,2006,0.015859624
83,2007,0.064074174
83,2008,0.058617476
83,2009,0.048817936
83,2010,0.080604032
83,2011,0.072570339
83,2012,0.070182487
83,2013,0.068893783
83,2014,0.07054887
83,2015,0.07054887
84,2000,0
84,2001,0
84,2002,0
84,2003,0
84,2004,0
84,2005,0
84,2006,0.015859624
84,2007,0.064074174
84,2008,0.058617476
84,2009,0.048817936
84,2010,0.080604032
84,2011,0.072570339
84,2012,0.070182487
84,2013,0.068893783
84,2014,0.07054887
84,2015,0.07054887
85,2000,0
85,2001,0
85,2002,0
85,2003,0
85,2004,0
85,2005,0
85,2006,0.015859624
85,2007,0.064074174
85,2008,0.058617476
85,2009,0.048817936
85,2010,0.080604032
85,2011,0.072570339
85,2012,0.070182487
85,2013,0.068893783
85,2014,0.07054887
85,2015,0.07054887
86,2000,0
86,2001,0
86,2002,0
86,2003,0
86,2004,0
86,2005,0
86,2006,0.015859624
86,2007,0.064074174
86,2008,0.058617476
86,2009,0.048817936
86,2010,0.080604032
86,2011,0.072570339
86,2012,0.070182487
86,2013,0.068893783
86,2014,0.07054887
86,2015,0.07054887
87,2000,0
87,2001,0
87,2002,0
87,2003,0
87,2004,0
87,2005,0
87,2006,0.015859624
87,2007,0.064074174
87,2008,0.058617476
87,2009,0.048817936
87,2010,0.080604032
87,2011,0.072570339
87,2012,0.070182487
87,2013,0.068893783
87,2014,0.07054887
87,2015,0.07054887
88,2000,0
88,2001,0
88,2002,0
88,2003,0
88,2004,0
88,2005,0
88,2006,0.015859624
88,2007,0.064074174
88,2008,0.058617476
88,2009,0.048817936
88,2010,0.080604032
88,2011,0.072570339
88,2012,0.070182487
88,2013,0.068893783
88,2014,0.07054887
88,2015,0.07054887
89,2000,0
89,2001,0
89,2002,0
89,2003,0
89,2004,0
89,2005,0
89,2006,0.015859624
89,2007,0.064074174
89,2008,0.058617476
89,2009,0.048817936
89,2010,0.080604032
89,2011,0.072570339
89,2012,0.070182487
89,2013,0.068893783
89,2014,0.07054887
89,2015,0.07054887
90,2000,0
90,2001,0
90,2002,0
90,2003,0
90,2004,0.000195301
90,2005,0.000294698
90,2006,0.015925526
90,2007,0.065047349
90,2008,0.059397609
90,2009,0.048813813
90,2010,0.080038781
90,2011,0.072308039
90,2012,0.070252503
90,2013,0.067705959
90,2014,0.070088834
90,2015,0.070088834
91,2000,0
91,2001,0
91,2002,0
91,2003,0
91,2004,0
91,2005,0
91,2006,0.015859624
91,2007,0.064074174
91,2008,0.058617476
91,2009,0.048817936
91,2010,0.080604032
91,2011,0.072570339
91,2012,0.070182487
91,2013,0.068893783
91,2014,0.07054887
91,2015,0.07054887
92,2000,0
92,2001,0
92,2002,0
92,2003,0
92,2004,0
92,2005,0
92,2006,0.015859624
92,2007,0.064074174
92,2008,0.058617476
92,2009,0.048817936
