district,year,value
55,2012,0.302006818
55,2013,0.497328596
55,2014,0.704835749
55,2015,0.696003411
56,2000,0
56,2001,0
56,2002,0
56,2003,0
56,2004,0
56,2005,0
56,2006,0.049540843
56,2007,0.142784823
56,2008,0.188942558
56,2009,0.211929506
56,2010,0.289595771
56,2011,0.290244577
56,2012,0.272390461
56,2013,0.463487068
56,2014,0.658808373
56,2015,0.650408254
57,2000,0
57,2001,0
57,2002,0
57,2003,0
57,2004,0
57,2005,0
57,2006,0.133932932
57,2007,0.241762772
57,2008,0.287044988
57,2009,0.301385341
57,2010,0.395464435
57,2011,0.399476275
57,2012,0.365570282
57,2013,0.565267178
57,2014,0.770765758
57,2015,0.762004662
58,2000,0
58,2001,0
58,2002,0
58,2003,0
58,2004,0
58,2005,0
58,2006,0.112275704
58,2007,0.209923461
58,2008,0.251825408
58,2009,0.275485433
58,2010,0.361578372
58,2011,0.37272856
58,2012,0.363379531
58,2013,0.571042101
58,2014,0.780541558
58,2015,0.771638554
59,2000,0
59,2001,0
59,2002,0
59,2003,0
59,2004,0
59,2005,0
59,2006,0.094051758
59,2007,0.188998841
59,2008,0.233270842
59,2009,0.259045988
59,2010,0.341940829
59,2011,0.345096375
59,2012,0.329890411
59,2013,0.528802765
59,2014,0.730621512
59,2015,0.721990936
60,2000,0
60,2001,0
60,2002,0
60,2003,0
60,2004,0
60,2005,0
60,2006,0.075929321
60,2007,0.188377424
60,2008,0.237545789
60,2009,0.240107267
60,2010,0.304894853
60,2011,0.310200303
60,2012,0.297486324
60,2013,0.488759575
60,2014,0.685948866
60,2015,0.677482493
61,2000,0
61,2001,0
61,2002,0
61,2003,0
61,2004,0
61,2005,0
61,2006,0.066945767
61,2007,0.166527002
61,2008,0.215438895
61,2009,0.237620424
61,2010,0.325011276
61,2011,0.33373723
61,2012,0.315289795
61,2013,0.520278375
61,2014,0.730530135
61,2015,0.721600449
62,2000,0
62,2001,0
62,2002,0
62,2003,0
62,2004,0
62,2005,0
62,2006,0.084896001
62,2007,0.187289371
62,2008,0.236436601
62,2009,0.256236242
62,2010,0.342368939
62,2011,0.354126634
62,2012,0.339264493
62,2013,0.545614043
62,2014,0.756610447
62,2015,0.747654349
63,2000,0
63,2001,0
63,2002,0
63,2003,0
63,2004,0
63,2005,0
63,2006,0.091439476
63,2007,0.18303917
63,2008,0.230757554
63,2009,0.259303515
63,2010,0.332467837
63,2011,0.324988217
63,2012,0.308629286
63,2013,0.494987159
63,2014,0.684761862
63,2015,0.676558476
64,2000,0
64,2001,0
64,2002,0
64,2003,0
64,2004,0
64,2005,0
64,2006,0.135795549
64,2007,0.251027294
64,2008,0.300217693
64,2009,0.311604488
64,2010,0.39893888
64,2011,0.406226318
64,2012,0.383644948
64,2013,0.5954881
64,2014,0.811100126
64,2015,0.801980316
65,2000,0
65,2001,0
65,2002,0
65,2003,0
65,2004,0
65,2005,0
65,2006,0.116873694
65,2007,0.215617521
65,2008,0.266467502
65,2009,0.300611934
65,2010,0.410272202
65,2011,0.403132746
65,2012,0.350532018
65,2013,0.542646855
65,2014,0.745440502
65,2015,0.736775347
66,2000,0
66,2001,0
66,2002,0
66,2003,0
66,2004,0
66,2005,0
66,2006,0.073392272
66,2007,0.160672029
66,2008,0.206317735
66,2009,0.234462152
66,2010,0.31279208
66,2011,0.315344693
66,2012,0.300345693
66,2013,0.48749852
66,2014,0.679809007
66,2015,0.671515679
67,2000,0
67,2001,0
67,2002,0
67,2003,0
67,2004,0
67,2005,0
67,2006,0.11149571
67,2007,0.205256561
67,2008,0.259933888
67,2009,0.296135051
67,2010,0.37852136
67,2011,0.364211662
67,2012,0.335089589
67,2013,0.520546832
67,2014,0.711701932
67,2015,0.703449585
68,2000,0
68,2001,0
68,2002,0.002038082
68,2003,0.000384125
68,2004,0.00055188
68,2005,0.002506971
68,2006,0.074699989
68,2007,0.181749583
68,2008,0.248950353
68,2009,0.284627757
68,2010,0.393382223
68,2011,0.378326467
68,2012,0.317409497
68,2013,0.507387992
68,2014,0.711276044
68,2015,0.702736559
69,2000,0
69,2001,0
69,2002,0
69,2003,0
69,2004,0
69,2005,0
69,2006,0.058797997
69,2007,0.157473125
69,2008,0.213877474
69,2009,0.245934956
69,2010,0.352101639
69,2011,0.342072015
69,2012,0.285007065
69,2013,0.469186919
69,2014,0.664686147
69,2015,0.656279718
70,2000,0
70,2001,0
70,2002,0
70,2003,0
70,2004,0
70,2005,0
70,2006,0.151549434
70,2007,0.247665017
70,2008,0.289405253
70,2009,0.318904712
70,2010,0.430513028
70,2011,0.435166977
70,2012,0.39251362
70,2013,0.589878806
70,2014,0.795537506
70,2015,0.786770731
71,2000,0
71,2001,0
71,2002,0
71,2003,0
71,2004,0
71,2005,0
71,2006,0.057564082
71,2007,0.147963906
71,2008,0.200624595
71,2009,0.232537908
71,2010,0.323830542
71,2011,0.32735934
71,2012,0.300999742
71,2013,0.496009577
71,2014,0.699631086
71,2015,0.690936568
72,2000,0
72,2001,0
72,2002,0
72,2003,0
72,2004,0
72,2005,0
72,2006,0.093365345
72,2007,0.188654323
72,2008,0.235967816
72,2009,0.261486583
72,2010,0.341452142
72,2011,0.344723382
72,2012,0.330681886
72,2013,0.527887092
72,2014,0.730064143
72,2015,0.721420858
73,2000,0
73,2001,0
73,2002,0
73,2003,0
73,2004,0
73,2005,0
73,2006,0.203780089
73,2007,0.336739708
73,2008,0.400647267
73,2009,0.40248963
73,2010,0.46759091
73,2011,0.462486578
73,2012,0.444007902
73,2013,0.654352049
73,2014,0.866017547
73,2015,0.857037716
74,2000,0
74,2001,0
74,2002,0.009028066
74,2003,0.00327337
74,2004,0.003770494
74,2005,0.010184028
74,2006,0.105269898
74,2007,0.197663285
74,2008,0.256698915
74,2009,0.297187521
74,2010,0.392250437
74,2011,0.382167756
74,2012,0.334240618
74,2013,0.504473501
74,2014,0.687061461
74,2015,0.679666436
75,2000,0
75,2001,0
75,2002,0
75,2003,0
75,2004,0
75,2005,0
75,2006,0.071321225
75,2007,0.174054904
75,2008,0.222615459
75,2009,0.240306904
75,2010,0.32890124
75,2011,0.345637182
75,2012,0.332200961
75,2013,0.547734163
75,2014,0.766585975
75,2015,0.757351253
76,2000,0
76,2001,0
76,2002,0
76,2003,0
76,2004,0
76,2005,0
76,2006,0.036290093
76,2007,0.122562229
76,2008,0.176235977
76,2009,0.206301797
76,2010,0.294062714
76,2011,0.282369211
76,2012,0.240870646
76,2013,0.41347362
76,2014,0.593998823
76,2015,0.586123508
77,2000,0
77,2001,0
77,2002,0
77,2003,0
77,2004,0
77,2005,0
77,2006,0.083795472
77,2007,0.207213573
77,2008,0.263769133
77,2009,0.266131751
77,2010,0.342748822
77,2011,0.34952192
77,2012,0.325581704
77,2013,0.526741986
77,2014,0.738806849
77,2015,0.729812854
78,2000,0
78,2001,0
78,2002,0
78,2003,0
78,2004,0
78,2005,0
78,2006,0.078538079
78,2007,0.177492311
78,2008,0.236763167
78,2009,0.272433941
78,2010,0.369587998
78,2011,0.361325273
78,2012,0.323369455
78,2013,0.51965891
78,2014,0.725592606
78,2015,0.716816077
79,2000,0
79,2001,0
79,2002,0
79,2003,0
79,2004,0
79,2005,0
79,2006,0.095537134
79,2007,0.207910393
79,2008,0.261686596
79,2009,0.271080455
79,2010,0.345999053
79,2011,0.350665727
79,2012,0.332586472
79,2013,0.530858237
79,2014,0.735178622
79,2015,0.726459315
80,2000,0
80,2001,0
80,2002,0
80,2003,0
80,2004,0
80,2005,0
80,2006,0.079445545
80,2007,0.178598209
80,2008,0.2246756
80,2009,0.24614451
80,2010,0.334591867
80,2011,0.348775747
80,2012,0.335635306
80,2013,0.544945788
80,2014,0.757872819
80,2015,0.748848243
81,2000,0
81,2001,0
81,2002,0
81,2003,0
81,2004,0
81,2005,0
81,2006,0.060241433
81,2007,0.184254582
81,2008,0.24409326
81,2009,0.244982203
81,2010,0.324573911
81,2011,0.335128017
81,2012,0.308071514
81,2013,0.510737597
81,2014,0.724966458
81,2015,0.715895708
82,2000,0
82,2001,0
82,2002,0
82,2003,0.002067366
82,2004,0.002047807
82,2005,0.00256605
82,2006,0.243037317
82,2007,0.383645838
82,2008,0.452861403
82,2009,0.451568591
82,2010,0.500643109
82,2011,0.489190077
82,2012,0.47806864
82,2013,0.684968127
82,2014,0.88889069
82,2015,0.88004188
83,2000,0
83,2001,0
83,2002,0
83,2003,0
83,2004,0
83,2005,0
83,2006,0.101981751
83,2007,0.21734885
83,2008,0.269241471
83,2009,0.276244127
83,2010,0.348426049
83,2011,0.352428417
83,2012,0.335194423
83,2013,0.533192722
83,2014,0.739490856
83,2015,0.7307014
84,2000,0
84,2001,0
84,2002,0
84,2003,0
84,2004,0
84,2005,0
84,2006,0.063591253
84,2007,0.157732775
84,2008,0.204556544
84,2009,0.228952133
84,2010,0.309909424
84,2011,0.313613836
84,2012,0.296808303
84,2013,0.492245869
84,2014,0.692604755
84,2015,0.684025959
85,2000,0
85,2001,0
85,2002,0
85,2003,0
85,2004,0
85,2005,0
85,2006,0.064106723
85,2007,0.155251542
85,2008,0.212049834
85,2009,0.247848833
85,2010,0.349898119
85,2011,0.337615769
85,2012,0.27995779
85,2013,0.451690832
85,2014,0.634561366
85,2015,0.626602865
86,2000,0
86,2001,0
86,2002,0
86,2003,0
86,2004,0
86,2005,0
86,2006,0.112309811
86,2007,0.219400499
86,2008,0.270210223
86,2009,0.285128718
86,2010,0.35731143
86,2011,0.358254339
86,2012,0.343191498
86,2013,0.537876334
86,2014,0.739245173
86,2015,0.730630555
87,2000,0
87,2001,0
87,2002,0
87,2003,0
87,2004,0
87,2005,0
87,2006,0.060213285
87,2007,0.152740553
87,2008,0.199009293
87,2009,0.223151043
87,2010,0.297662127
87,2011,0.29470075
87,2012,0.277460881
87,2013,0.46439877
87,2014,0.654657927
87,2015,0.646437358
88,2000,0
88,2001,0
88,2002,0
88,2003,0
88,2004,0
88,2005,0
88,2006,0.04355664
88,2007,0.136988214
88,2008,0.183847328
88,2009,0.20614626
88,2010,0.289873741
88,2011,0.295114994
88,2012,0.275136997
88,2013,0.472593115
88,2014,0.674814036
88,2015,0.666169195
89,2000,0
89,2001,0
89,2002,0
89,2003,0
89,2004,0
89,2005,0
89,2006,0.11801103
89,2007,0.213947987
89,2008,0.258602351
89,2009,0.287236028
89,2010,0.375715689
89,2011,0.378001023
89,2012,0.358965744
89,2013,0.559726938
89,2014,0.764082034
89,2015,0.755361496
90,2000,0
90,2001,0
90,2002,0.002954601
90,2003,0.000928767
90,2004,0.00108332
90,2005,0.003232112
90,2006,0.076081275
90,2007,0.170386002
90,2008,0.230369967
90,2009,0.268188096
90,2010,0.37047846
90,2011,0.358438358
90,2012,0.30242557
90,2013,0.478971423
90,2014,0.66752057
90,2015,0.659543455
91,2000,0
91,2001,0
91,2002,0
91,2003,0
91,2004,0
91,2005,0
91,2006,0.091723917
91,2007,0.196459981
91,2008,0.24725103
91,2009,0.262995133
91,2010,0.343328649
91,2011,0.353546793
91,2012,0.339361066
91,2013,0.540301375
91,2014,0.745911659
91,2015,0.737146601
92,2000,0
92,2001,0
92,2002,0
92,2003,0
92,2004,0
